"rules"|"support"|"confidence"|"coverage"|"lift"|"count"
"{超值大礼包} => {新手礼包}"|0.0159948816378759|0.900900900900901|0.0177543186180422|13.1907082726755|100
"{新手礼包} => {超值大礼包}"|0.0159948816378759|0.234192037470726|0.06829814459373|13.1907082726755|100
"{3000金币} => {新手礼包}"|0.00767754318618042|0.233009708737864|0.0329494561740243|3.4116550328551|48
"{新手礼包} => {3000金币}"|0.00767754318618042|0.112412177985948|0.06829814459373|3.4116550328551|48
"{3000金币} => {15000金币}"|0.00895713371721049|0.271844660194175|0.0329494561740243|1.46388700735054|56
"{38000金币} => {70000金币}"|0.00751759436980166|0.206140350877193|0.036468330134357|2.21061659294033|47
"{38000金币} => {50条钥匙}"|0.00639795265515035|0.175438596491228|0.036468330134357|1.73003486634568|40
"{38000金币} => {15000金币}"|0.00847728726807422|0.232456140350877|0.036468330134357|1.25177931909878|53
"{38000金币} => {8条钥匙}"|0.00639795265515035|0.175438596491228|0.036468330134357|0.505224369075614|40
"{20条钥匙} => {70000金币}"|0.00527831094049904|0.166666666666667|0.0316698656429942|1.78730703259005|33
"{20条钥匙} => {50条钥匙}"|0.00831733845169546|0.262626262626263|0.0316698656429942|2.5898097696205|52
"{20条钥匙} => {15000金币}"|0.00767754318618042|0.242424242424242|0.0316698656429942|1.3054576775507|48
"{20条钥匙} => {8条钥匙}"|0.0140754958413308|0.444444444444444|0.0316698656429942|1.27990173499156|88
"{特殊滑板} => {双倍金币}"|0.00735764555342291|0.150326797385621|0.0489443378119002|1.71817758181883|46
"{特殊滑板} => {限量版角色}"|0.0127959053103007|0.261437908496732|0.0489443378119002|2.23293689060324|80
"{限量版角色} => {特殊滑板}"|0.0127959053103007|0.109289617486339|0.117082533589251|2.23293689060324|80
"{特殊滑板} => {15000金币}"|0.00767754318618042|0.156862745098039|0.0489443378119002|0.844707909003395|48
"{特殊滑板} => {8条钥匙}"|0.00975687779910429|0.199346405228758|0.0489443378119002|0.574073572312389|61
"{解锁滑板} => {双倍金币}"|0.0119961612284069|0.1953125|0.0614203454894434|2.23234689213894|75
"{双倍金币} => {解锁滑板}"|0.0119961612284069|0.137111517367459|0.0874920025591811|2.23234689213894|75
"{解锁滑板} => {限量版角色}"|0.0191938579654511|0.3125|0.0614203454894434|2.66905737704918|120
"{限量版角色} => {解锁滑板}"|0.0191938579654511|0.163934426229508|0.117082533589251|2.66905737704918|120
"{解锁滑板} => {15000金币}"|0.00959692898272553|0.15625|0.0614203454894434|0.84140826873385|60
"{解锁滑板} => {8条钥匙}"|0.0118362124120282|0.192708333333333|0.0614203454894434|0.554957392906495|74
"{新手礼包} => {0.1元大礼包}"|0.0103966730646193|0.152224824355972|0.06829814459373|1.19561507773057|65
"{新手礼包} => {15000金币}"|0.0105566218809981|0.154566744730679|0.06829814459373|0.832343917361073|66
"{新手礼包} => {8条钥匙}"|0.00943698016634677|0.138173302107728|0.06829814459373|0.397908560468686|59
"{双倍金币} => {限量版角色}"|0.0167946257197697|0.191956124314442|0.0874920025591811|1.63949411094794|105
"{限量版角色} => {双倍金币}"|0.0167946257197697|0.14344262295082|0.117082533589251|1.63949411094794|105
"{双倍金币} => {15000金币}"|0.0137555982085733|0.157221206581353|0.0874920025591811|0.846638228722324|86
"{双倍金币} => {8条钥匙}"|0.0155150351887396|0.177330895795247|0.0874920025591811|0.510673772690872|97
"{70000金币} => {50条钥匙}"|0.0150351887396033|0.161234991423671|0.0932501599488164|1.58997029397601|94
"{50条钥匙} => {70000金币}"|0.0150351887396033|0.148264984227129|0.101407549584133|1.58997029397601|94
"{70000金币} => {15000金币}"|0.0191938579654511|0.205831903945111|0.0932501599488164|1.10840746207135|120
"{15000金币} => {70000金币}"|0.0191938579654511|0.103359173126615|0.185700575815739|1.10840746207135|120
"{70000金币} => {8条钥匙}"|0.0150351887396033|0.161234991423671|0.0932501599488164|0.464321126845135|94
"{50条钥匙} => {15000金币}"|0.017274472168906|0.170347003154574|0.101407549584133|0.917320812853055|108
"{50条钥匙} => {8条钥匙}"|0.0164747280870122|0.162460567823344|0.101407549584133|0.467850515905825|103
"{限量版角色} => {15000金币}"|0.017274472168906|0.147540983606557|0.117082533589251|0.79451010293557|108
"{限量版角色} => {8条钥匙}"|0.022552783109405|0.192622950819672|0.117082533589251|0.554711510144906|141
"{15000金币} => {8条钥匙}"|0.0407869481765835|0.219638242894057|0.185700575815739|0.63250957833885|255
"{8条钥匙} => {15000金币}"|0.0407869481765835|0.117457392906495|0.347248880358285|0.63250957833885|255
"{解锁滑板,双倍金币} => {限量版角色}"|0.00591810620601408|0.493333333333333|0.0119961612284069|4.21355191256831|37
"{解锁滑板,限量版角色} => {双倍金币}"|0.00591810620601408|0.308333333333333|0.0191938579654511|3.52413162705667|37
"{双倍金币,限量版角色} => {解锁滑板}"|0.00591810620601408|0.352380952380952|0.0167946257197697|5.73720238095238|37
"{15000金币,限量版角色} => {8条钥匙}"|0.00559820857325656|0.324074074074074|0.017274472168906|0.933261681764676|35
"{8条钥匙,限量版角色} => {15000金币}"|0.00559820857325656|0.24822695035461|0.022552783109405|1.33670533472612|35
"{15000金币,8条钥匙} => {限量版角色}"|0.00559820857325656|0.137254901960784|0.0407869481765835|1.1722918675667|35
